INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=14/36 | 52 samples
INFO   [  1/ 52] 0014 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 37s | ETA 0.5h
INFO   [  2/ 52] 0050 gold=MALIGNANT | 19 claims 10 mal | 10 disagree  2 agree | 35s | ETA 0.5h
INFO   [  3/ 52] 0086 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.5h
INFO   [  4/ 52] 0122 gold=BENIGN    | 18 claims  6 mal | 12 disagree  0 agree | 35s | ETA 0.5h
INFO   [  5/ 52] 0158 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 38s | ETA 0.5h
WARNING turn agent_1 r0 failed: HTTP Error 500: Internal Server Error
INFO   [  6/ 52] 0194 gold=BENIGN    | 16 claims 10 mal | 11 disagree  1 agree | 71s | ETA 0.5h
INFO   [  7/ 52] 0230 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 35s | ETA 0.5h
INFO   [  8/ 52] 0266 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.5h
INFO   [  9/ 52] 0302 gold=MALIGNANT | 20 claims 11 mal |  8 disagree  4 agree | 37s | ETA 0.5h
INFO   [ 10/ 52] 0338 gold=BENIGN    | 20 claims 15 mal |  8 disagree  4 agree | 36s | ETA 0.5h
INFO   [ 11/ 52] 0374 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 36s | ETA 0.4h
INFO   [ 12/ 52] 0410 gold=BENIGN    | 17 claims  4 mal |  5 disagree  5 agree | 34s | ETA 0.4h
INFO   [ 13/ 52] 0446 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 36s | ETA 0.4h
INFO   [ 14/ 52] 0482 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 37s | ETA 0.4h
INFO   [ 15/ 52] 0518 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 36s | ETA 0.4h
