INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=28/36 | 52 samples
INFO   [  1/ 52] 0028 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 37s | ETA 0.5h
INFO   [  2/ 52] 0064 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 35s | ETA 0.5h
INFO   [  3/ 52] 0100 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 36s | ETA 0.5h
INFO   [  4/ 52] 0136 gold=MALIGNANT | 20 claims 10 mal |  9 disagree  3 agree | 37s | ETA 0.5h
INFO   [  5/ 52] 0172 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 35s | ETA 0.5h
INFO   [  6/ 52] 0208 gold=BENIGN    | 18 claims  4 mal |  8 disagree  2 agree | 37s | ETA 0.5h
INFO   [  7/ 52] 0244 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 36s | ETA 0.5h
INFO   [  8/ 52] 0280 gold=BENIGN    | 18 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.4h
INFO   [  9/ 52] 0316 gold=BENIGN    | 20 claims  7 mal | 11 disagree  1 agree | 37s | ETA 0.4h
INFO   [ 10/ 52] 0352 gold=BENIGN    | 19 claims 11 mal | 10 disagree  2 agree | 35s | ETA 0.4h
INFO   [ 11/ 52] 0388 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 35s | ETA 0.4h
INFO   [ 12/ 52] 0424 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 36s | ETA 0.4h
INFO   [ 13/ 52] 0460 gold=MALIGNANT | 19 claims 11 mal |  9 disagree  3 agree | 35s | ETA 0.4h
INFO   [ 14/ 52] 0496 gold=BENIGN    | 19 claims 10 mal | 10 disagree  2 agree | 35s | ETA 0.4h
INFO   [ 15/ 52] 0532 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 36s | ETA 0.4h
INFO   [ 16/ 52] 0568 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 37s | ETA 0.4h
INFO   [ 17/ 52] 0604 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 37s | ETA 0.3h
