INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=24/36 | 52 samples
INFO   [  1/ 52] 0024 gold=BENIGN    | 20 claims 14 mal |  6 disagree  6 agree | 27s | ETA 0.4h
INFO   [  2/ 52] 0060 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 25s | ETA 0.4h
INFO   [  3/ 52] 0096 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 26s | ETA 0.4h
INFO   [  4/ 52] 0132 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.4h
INFO   [  5/ 52] 0168 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [  6/ 52] 0204 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [  7/ 52] 0240 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 27s | ETA 0.3h
INFO   [  8/ 52] 0276 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [  9/ 52] 0312 gold=BENIGN    | 19 claims 17 mal |  4 disagree  8 agree | 26s | ETA 0.3h
INFO   [ 10/ 52] 0348 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 27s | ETA 0.3h
INFO   [ 11/ 52] 0384 gold=MALIGNANT | 20 claims 10 mal | 10 disagree  2 agree | 27s | ETA 0.3h
INFO   [ 12/ 52] 0420 gold=MALIGNANT | 20 claims 11 mal |  9 disagree  3 agree | 30s | ETA 0.3h
INFO   [ 13/ 52] 0456 gold=MALIGNANT | 20 claims  7 mal | 11 disagree  1 agree | 27s | ETA 0.3h
INFO   [ 14/ 52] 0492 gold=MALIGNANT | 19 claims 13 mal | 11 disagree  1 agree | 25s | ETA 0.3h
INFO   [ 15/ 52] 0528 gold=BENIGN    | 17 claims 10 mal |  6 disagree  3 agree | 25s | ETA 0.3h
INFO   [ 16/ 52] 0564 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 25s | ETA 0.3h
INFO   [ 17/ 52] 0600 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 18/ 52] 0636 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 19/ 52] 0672 gold=BENIGN    | 20 claims 10 mal |  8 disagree  4 agree | 27s | ETA 0.2h
INFO   [ 20/ 52] 0708 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 21/ 52] 0744 gold=BENIGN    | 20 claims 11 mal |  7 disagree  5 agree | 26s | ETA 0.2h
INFO   [ 22/ 52] 0780 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 23/ 52] 0816 gold=MALIGNANT | 19 claims  9 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 24/ 52] 0852 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 25/ 52] 0888 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 26/ 52] 0924 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 27/ 52] 0960 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 28/ 52] 0996 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 27s | ETA 0.2h
INFO   [ 29/ 52] 1032 gold=BENIGN    | 20 claims 17 mal |  7 disagree  5 agree | 26s | ETA 0.2h
INFO   [ 30/ 52] 1068 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 31/ 52] 1104 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 32/ 52] 1140 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 33/ 52] 1176 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 34/ 52] 1212 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 35/ 52] 1248 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.1h
