INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=15/36 | 52 samples
INFO   [  1/ 52] 0015 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 11s | ETA 0.2h
INFO   [  2/ 52] 0051 gold=MALIGNANT | 20 claims  8 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [  3/ 52] 0087 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  4/ 52] 0123 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  5/ 52] 0159 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  6/ 52] 0195 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  7/ 52] 0231 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  8/ 52] 0267 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  9/ 52] 0303 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 10/ 52] 0339 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 11/ 52] 0375 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 12/ 52] 0411 gold=BENIGN    | 19 claims  6 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 13/ 52] 0447 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 14/ 52] 0483 gold=MALIGNANT | 17 claims  5 mal |  8 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 15/ 52] 0519 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 16/ 52] 0555 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 17/ 52] 0591 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 18/ 52] 0627 gold=MALIGNANT | 19 claims 13 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 19/ 52] 0663 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 20/ 52] 0699 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 21/ 52] 0735 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 22/ 52] 0771 gold=MALIGNANT | 19 claims  9 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 23/ 52] 0807 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 10s | ETA 0.1h
