INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=13/36 | 52 samples
INFO   [  1/ 52] 0013 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  2/ 52] 0049 gold=BENIGN    | 19 claims 14 mal | 11 disagree  1 agree | 16s | ETA 0.2h
INFO   [  3/ 52] 0085 gold=MALIGNANT | 18 claims  5 mal | 10 disagree  0 agree | 15s | ETA 0.2h
INFO   [  4/ 52] 0121 gold=BENIGN    | 19 claims 13 mal |  7 disagree  5 agree | 16s | ETA 0.2h
INFO   [  5/ 52] 0157 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [  6/ 52] 0193 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [  7/ 52] 0229 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [  8/ 52] 0265 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [  9/ 52] 0301 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 10/ 52] 0337 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 11/ 52] 0373 gold=BENIGN    | 19 claims  9 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [ 12/ 52] 0409 gold=MALIGNANT | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [ 13/ 52] 0445 gold=BENIGN    | 20 claims 17 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [ 14/ 52] 0481 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.2h
INFO   [ 15/ 52] 0517 gold=MALIGNANT | 19 claims 14 mal |  7 disagree  5 agree | 16s | ETA 0.2h
INFO   [ 16/ 52] 0553 gold=BENIGN    | 19 claims 11 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [ 17/ 52] 0589 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 16s | ETA 0.2h
INFO   [ 18/ 52] 0625 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 19/ 52] 0661 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 20/ 52] 0697 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 21/ 52] 0733 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 22/ 52] 0769 gold=MALIGNANT | 19 claims 11 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 23/ 52] 0805 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 24/ 52] 0841 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 25/ 52] 0877 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 26/ 52] 0913 gold=BENIGN    | 20 claims  7 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 27/ 52] 0949 gold=BENIGN    | 20 claims 15 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 28/ 52] 0985 gold=BENIGN    | 20 claims  5 mal |  8 disagree  4 agree | 17s | ETA 0.1h
INFO   [ 29/ 52] 1021 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 30/ 52] 1057 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 31/ 52] 1093 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 32/ 52] 1129 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 17s | ETA 0.1h
INFO   [ 33/ 52] 1165 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 34/ 52] 1201 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 17s | ETA 0.1h
INFO   [ 35/ 52] 1237 gold=MALIGNANT | 20 claims 16 mal |  4 disagree  8 agree | 16s | ETA 0.1h
INFO   [ 36/ 52] 1273 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 37/ 52] 1309 gold=BENIGN    | 20 claims  7 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 38/ 52] 1345 gold=MALIGNANT | 20 claims  6 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 39/ 52] 1381 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 16s | ETA 0.1h
