INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=35/36 | 52 samples
INFO   [  1/ 52] 0035 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 27s | ETA 0.4h
INFO   [  2/ 52] 0071 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 27s | ETA 0.4h
INFO   [  3/ 52] 0107 gold=BENIGN    | 19 claims 12 mal |  7 disagree  5 agree | 26s | ETA 0.4h
INFO   [  4/ 52] 0143 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.4h
INFO   [  5/ 52] 0179 gold=MALIGNANT | 19 claims 15 mal |  6 disagree  6 agree | 26s | ETA 0.3h
INFO   [  6/ 52] 0215 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 27s | ETA 0.3h
INFO   [  7/ 52] 0251 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [  8/ 52] 0287 gold=BENIGN    | 18 claims  2 mal |  6 disagree  4 agree | 25s | ETA 0.3h
INFO   [  9/ 52] 0323 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 10/ 52] 0359 gold=BENIGN    | 19 claims  8 mal | 10 disagree  2 agree | 26s | ETA 0.3h
INFO   [ 11/ 52] 0395 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 27s | ETA 0.3h
INFO   [ 12/ 52] 0431 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 26s | ETA 0.3h
INFO   [ 13/ 52] 0467 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 14/ 52] 0503 gold=BENIGN    | 19 claims  6 mal | 10 disagree  2 agree | 26s | ETA 0.3h
INFO   [ 15/ 52] 0539 gold=BENIGN    | 18 claims 11 mal | 10 disagree  2 agree | 26s | ETA 0.3h
INFO   [ 16/ 52] 0575 gold=BENIGN    | 19 claims  9 mal |  8 disagree  4 agree | 26s | ETA 0.3h
INFO   [ 17/ 52] 0611 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 25s | ETA 0.3h
INFO   [ 18/ 52] 0647 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 19/ 52] 0683 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 20/ 52] 0719 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 28s | ETA 0.2h
INFO   [ 21/ 52] 0755 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 28s | ETA 0.2h
INFO   [ 22/ 52] 0791 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 23/ 52] 0827 gold=MALIGNANT | 19 claims  6 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 24/ 52] 0863 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 25/ 52] 0899 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 26/ 52] 0935 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 27/ 52] 0971 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 27s | ETA 0.2h
INFO   [ 28/ 52] 1007 gold=MALIGNANT | 20 claims  9 mal |  8 disagree  4 agree | 28s | ETA 0.2h
INFO   [ 29/ 52] 1043 gold=BENIGN    | 19 claims 14 mal |  9 disagree  3 agree | 28s | ETA 0.2h
INFO   [ 30/ 52] 1079 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 28s | ETA 0.2h
INFO   [ 31/ 52] 1115 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 27s | ETA 0.2h
INFO   [ 32/ 52] 1151 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 28s | ETA 0.1h
INFO   [ 33/ 52] 1187 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 27s | ETA 0.1h
INFO   [ 34/ 52] 1223 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 29s | ETA 0.1h
INFO   [ 35/ 52] 1259 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 36/ 52] 1295 gold=BENIGN    | 19 claims  8 mal | 10 disagree  2 agree | 26s | ETA 0.1h
INFO   [ 37/ 52] 1331 gold=MALIGNANT | 18 claims 12 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 38/ 52] 1367 gold=MALIGNANT | 20 claims 14 mal | 11 disagree  1 agree | 29s | ETA 0.1h
INFO   [ 39/ 52] 1403 gold=BENIGN    | 18 claims 12 mal |  8 disagree  4 agree | 27s | ETA 0.1h
INFO   [ 40/ 52] 1439 gold=BENIGN    | 18 claims  8 mal | 10 disagree  2 agree | 27s | ETA 0.1h
INFO   [ 41/ 52] 1475 gold=MALIGNANT | 16 claims 10 mal |  8 disagree  1 agree | 25s | ETA 0.1h
INFO   [ 42/ 52] 1511 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 28s | ETA 0.1h
INFO   [ 43/ 52] 1547 gold=BENIGN    | 20 claims 13 mal | 10 disagree  2 agree | 27s | ETA 0.1h
INFO   [ 44/ 52] 1583 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 26s | ETA 0.1h
INFO   [ 45/ 52] 1619 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 46/ 52] 1655 gold=MALIGNANT | 19 claims 17 mal |  4 disagree  8 agree | 27s | ETA 0.0h
INFO   [ 47/ 52] 1691 gold=BENIGN    | 19 claims 17 mal |  9 disagree  3 agree | 27s | ETA 0.0h
INFO   [ 48/ 52] 1727 gold=MALIGNANT | 19 claims  6 mal | 12 disagree  0 agree | 27s | ETA 0.0h
INFO   [ 49/ 52] 1763 gold=BENIGN    | 20 claims  3 mal |  5 disagree  7 agree | 27s | ETA 0.0h
INFO   [ 50/ 52] 1799 gold=BENIGN    | 19 claims  8 mal | 10 disagree  2 agree | 26s | ETA 0.0h
INFO   [ 51/ 52] 1835 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 28s | ETA 0.0h
INFO   [ 52/ 52] 1871 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 28s | ETA 0.0h
INFO Done in 23.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
