INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=23/36 | 52 samples
INFO   [  1/ 52] 0023 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 15s | ETA 0.2h
INFO   [  2/ 52] 0059 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  3/ 52] 0095 gold=BENIGN    | 20 claims 16 mal |  8 disagree  4 agree | 15s | ETA 0.2h
INFO   [  4/ 52] 0131 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  5/ 52] 0167 gold=BENIGN    | 19 claims 11 mal |  1 disagree 11 agree | 15s | ETA 0.2h
INFO   [  6/ 52] 0203 gold=BENIGN    | 20 claims  7 mal |  6 disagree  6 agree | 16s | ETA 0.2h
INFO   [  7/ 52] 0239 gold=BENIGN    | 19 claims 15 mal |  8 disagree  4 agree | 16s | ETA 0.2h
INFO   [  8/ 52] 0275 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  9/ 52] 0311 gold=BENIGN    | 20 claims 14 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [ 10/ 52] 0347 gold=MALIGNANT | 16 claims  8 mal |  8 disagree  0 agree | 14s | ETA 0.2h
INFO   [ 11/ 52] 0383 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 12/ 52] 0419 gold=MALIGNANT | 18 claims 11 mal |  5 disagree  7 agree | 15s | ETA 0.2h
INFO   [ 13/ 52] 0455 gold=MALIGNANT | 19 claims 13 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [ 14/ 52] 0491 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [ 15/ 52] 0527 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 16/ 52] 0563 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.2h
INFO   [ 17/ 52] 0599 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 16s | ETA 0.1h
