INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=34/36 | 52 samples
INFO   [  1/ 52] 0034 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [  2/ 52] 0070 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  3/ 52] 0106 gold=BENIGN    | 18 claims  7 mal | 10 disagree  2 agree | 9s | ETA 0.1h
INFO   [  4/ 52] 0142 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 9s | ETA 0.1h
INFO   [  5/ 52] 0178 gold=MALIGNANT | 19 claims 15 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  6/ 52] 0214 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 9s | ETA 0.1h
INFO   [  7/ 52] 0250 gold=BENIGN    | 18 claims  7 mal | 11 disagree  1 agree | 9s | ETA 0.1h
INFO   [  8/ 52] 0286 gold=BENIGN    | 19 claims 11 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [  9/ 52] 0322 gold=MALIGNANT | 20 claims 14 mal |  4 disagree  8 agree | 10s | ETA 0.1h
INFO   [ 10/ 52] 0358 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 11/ 52] 0394 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 12/ 52] 0430 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 13/ 52] 0466 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 14/ 52] 0502 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 15/ 52] 0538 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 16/ 52] 0574 gold=MALIGNANT | 18 claims  8 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 17/ 52] 0610 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 18/ 52] 0646 gold=BENIGN    | 19 claims  9 mal | 10 disagree  2 agree | 9s | ETA 0.1h
INFO   [ 19/ 52] 0682 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 20/ 52] 0718 gold=BENIGN    | 19 claims 11 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 21/ 52] 0754 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 22/ 52] 0790 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 23/ 52] 0826 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 24/ 52] 0862 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 25/ 52] 0898 gold=MALIGNANT | 20 claims 13 mal |  5 disagree  7 agree | 10s | ETA 0.1h
INFO   [ 26/ 52] 0934 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 27/ 52] 0970 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 28/ 52] 1006 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 29/ 52] 1042 gold=BENIGN    | 20 claims  8 mal |  7 disagree  5 agree | 9s | ETA 0.1h
INFO   [ 30/ 52] 1078 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 31/ 52] 1114 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 32/ 52] 1150 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 33/ 52] 1186 gold=MALIGNANT | 20 claims 12 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 34/ 52] 1222 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 35/ 52] 1258 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 36/ 52] 1294 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 9s | ETA 0.0h
INFO   [ 37/ 52] 1330 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 38/ 52] 1366 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 39/ 52] 1402 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 40/ 52] 1438 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 9s | ETA 0.0h
INFO   [ 41/ 52] 1474 gold=BENIGN    | 18 claims 11 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 42/ 52] 1510 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 43/ 52] 1546 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 44/ 52] 1582 gold=BENIGN    | 20 claims 15 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 45/ 52] 1618 gold=BENIGN    | 18 claims 14 mal |  8 disagree  4 agree | 9s | ETA 0.0h
INFO   [ 46/ 52] 1654 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 9s | ETA 0.0h
INFO   [ 47/ 52] 1690 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 9s | ETA 0.0h
INFO   [ 48/ 52] 1726 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 9s | ETA 0.0h
INFO   [ 49/ 52] 1762 gold=BENIGN    | 19 claims  8 mal |  7 disagree  5 agree | 9s | ETA 0.0h
INFO   [ 50/ 52] 1798 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 51/ 52] 1834 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 9s | ETA 0.0h
INFO   [ 52/ 52] 1870 gold=MALIGNANT | 19 claims 13 mal |  7 disagree  5 agree | 9s | ETA 0.0h
INFO Done in 8.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
