INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=29/36 | 52 samples
INFO   [  1/ 52] 0029 gold=MALIGNANT | 17 claims 12 mal |  9 disagree  0 agree | 35s | ETA 0.5h
INFO   [  2/ 52] 0065 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 36s | ETA 0.5h
INFO   [  3/ 52] 0101 gold=BENIGN    | 19 claims 13 mal | 11 disagree  1 agree | 39s | ETA 0.5h
INFO   [  4/ 52] 0137 gold=BENIGN    | 18 claims  9 mal | 11 disagree  1 agree | 37s | ETA 0.5h
INFO   [  5/ 52] 0173 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 39s | ETA 0.5h
INFO   [  6/ 52] 0209 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 38s | ETA 0.5h
INFO   [  7/ 52] 0245 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 39s | ETA 0.5h
INFO   [  8/ 52] 0281 gold=BENIGN    | 19 claims 12 mal |  6 disagree  6 agree | 38s | ETA 0.5h
INFO   [  9/ 52] 0317 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 40s | ETA 0.5h
INFO   [ 10/ 52] 0353 gold=BENIGN    | 19 claims  7 mal |  7 disagree  5 agree | 37s | ETA 0.4h
INFO   [ 11/ 52] 0389 gold=BENIGN    | 19 claims 14 mal |  8 disagree  4 agree | 38s | ETA 0.4h
INFO   [ 12/ 52] 0425 gold=MALIGNANT | 18 claims  6 mal |  9 disagree  3 agree | 37s | ETA 0.4h
INFO   [ 13/ 52] 0461 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 38s | ETA 0.4h
INFO   [ 14/ 52] 0497 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 39s | ETA 0.4h
INFO   [ 15/ 52] 0533 gold=BENIGN    | 19 claims  4 mal |  6 disagree  6 agree | 37s | ETA 0.4h
INFO   [ 16/ 52] 0569 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 38s | ETA 0.4h
INFO   [ 17/ 52] 0605 gold=MALIGNANT | 19 claims 11 mal | 11 disagree  1 agree | 38s | ETA 0.4h
INFO   [ 18/ 52] 0641 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 37s | ETA 0.4h
INFO   [ 19/ 52] 0677 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 39s | ETA 0.3h
INFO   [ 20/ 52] 0713 gold=BENIGN    | 19 claims 12 mal |  8 disagree  4 agree | 37s | ETA 0.3h
INFO   [ 21/ 52] 0749 gold=MALIGNANT | 19 claims 11 mal | 10 disagree  2 agree | 39s | ETA 0.3h
INFO   [ 22/ 52] 0785 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 38s | ETA 0.3h
