INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=25/36 | 52 samples
INFO   [  1/ 52] 0025 gold=MALIGNANT | 20 claims 15 mal | 12 disagree  0 agree | 226s | ETA 3.2h
INFO   [  2/ 52] 0061 gold=BENIGN    | 20 claims  7 mal |  9 disagree  3 agree | 228s | ETA 3.1h
INFO   [  3/ 52] 0097 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 220s | ETA 3.1h
INFO   [  4/ 52] 0133 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 215s | ETA 3.0h
INFO   [  5/ 52] 0169 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 220s | ETA 2.9h
INFO   [  6/ 52] 0205 gold=BENIGN    | 18 claims 10 mal |  8 disagree  4 agree | 219s | ETA 2.8h
INFO   [  7/ 52] 0241 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 225s | ETA 2.8h
INFO   [  8/ 52] 0277 gold=BENIGN    | 18 claims 12 mal | 12 disagree  0 agree | 219s | ETA 2.7h
INFO   [  9/ 52] 0313 gold=BENIGN    | 20 claims 10 mal |  7 disagree  5 agree | 239s | ETA 2.7h
INFO   [ 10/ 52] 0349 gold=BENIGN    | 18 claims 11 mal | 12 disagree  0 agree | 220s | ETA 2.6h
INFO   [ 11/ 52] 0385 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 221s | ETA 2.5h
INFO   [ 12/ 52] 0421 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 221s | ETA 2.5h
INFO   [ 13/ 52] 0457 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 220s | ETA 2.4h
INFO   [ 14/ 52] 0493 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 225s | ETA 2.3h
INFO   [ 15/ 52] 0529 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 225s | ETA 2.3h
INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=25/36 | 52 samples
INFO   [ 16/ 52] 0565 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 48s | ETA 0.0h
