INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=16/36 | 52 samples
INFO   [  1/ 52] 0016 gold=MALIGNANT | 19 claims 13 mal | 10 disagree  2 agree | 37s | ETA 0.5h
INFO   [  2/ 52] 0052 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 38s | ETA 0.5h
WARNING turn agent_1 r0 failed: HTTP Error 500: Internal Server Error
INFO   [  3/ 52] 0088 gold=BENIGN    | 16 claims  8 mal | 11 disagree  1 agree | 75s | ETA 0.7h
INFO   [  4/ 52] 0124 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 41s | ETA 0.6h
INFO   [  5/ 52] 0160 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 38s | ETA 0.6h
INFO   [  6/ 52] 0196 gold=MALIGNANT | 18 claims 12 mal |  8 disagree  4 agree | 37s | ETA 0.6h
INFO   [  7/ 52] 0232 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 38s | ETA 0.5h
INFO   [  8/ 52] 0268 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 38s | ETA 0.5h
INFO   [  9/ 52] 0304 gold=BENIGN    | 19 claims  7 mal | 11 disagree  1 agree | 38s | ETA 0.5h
INFO   [ 10/ 52] 0340 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 38s | ETA 0.5h
INFO   [ 11/ 52] 0376 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 38s | ETA 0.5h
INFO   [ 12/ 52] 0412 gold=MALIGNANT | 20 claims 12 mal |  8 disagree  4 agree | 38s | ETA 0.5h
INFO   [ 13/ 52] 0448 gold=MALIGNANT | 20 claims  9 mal |  9 disagree  3 agree | 39s | ETA 0.4h
INFO   [ 14/ 52] 0484 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 39s | ETA 0.4h
INFO   [ 15/ 52] 0520 gold=BENIGN    | 18 claims 10 mal | 11 disagree  1 agree | 37s | ETA 0.4h
INFO   [ 16/ 52] 0556 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 39s | ETA 0.4h
INFO   [ 17/ 52] 0592 gold=MALIGNANT | 19 claims  6 mal |  9 disagree  3 agree | 37s | ETA 0.4h
INFO   [ 18/ 52] 0628 gold=MALIGNANT | 19 claims  7 mal | 12 disagree  0 agree | 39s | ETA 0.4h
INFO   [ 19/ 52] 0664 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 39s | ETA 0.4h
