INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=9/36 | 52 samples
INFO   [  1/ 52] 0009 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  2/ 52] 0045 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 14s | ETA 0.2h
INFO   [  3/ 52] 0081 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [  4/ 52] 0117 gold=BENIGN    | 19 claims  9 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [  5/ 52] 0153 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  6/ 52] 0189 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 17s | ETA 0.2h
INFO   [  7/ 52] 0225 gold=BENIGN    | 20 claims  9 mal |  7 disagree  5 agree | 16s | ETA 0.2h
INFO   [  8/ 52] 0261 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.2h
INFO   [  9/ 52] 0297 gold=BENIGN    | 20 claims 11 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [ 10/ 52] 0333 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 11/ 52] 0369 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 12/ 52] 0405 gold=BENIGN    | 19 claims 11 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [ 13/ 52] 0441 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 14/ 52] 0477 gold=MALIGNANT | 20 claims 16 mal |  9 disagree  3 agree | 17s | ETA 0.2h
INFO   [ 15/ 52] 0513 gold=MALIGNANT | 19 claims 13 mal |  6 disagree  6 agree | 16s | ETA 0.2h
INFO   [ 16/ 52] 0549 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 17/ 52] 0585 gold=BENIGN    | 19 claims 10 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [ 18/ 52] 0621 gold=MALIGNANT | 20 claims 13 mal |  9 disagree  3 agree | 17s | ETA 0.1h
INFO   [ 19/ 52] 0657 gold=BENIGN    | 19 claims 11 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 20/ 52] 0693 gold=MALIGNANT | 19 claims 13 mal | 10 disagree  2 agree | 15s | ETA 0.1h
INFO   [ 21/ 52] 0729 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 22/ 52] 0765 gold=MALIGNANT | 19 claims 15 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 23/ 52] 0801 gold=BENIGN    | 19 claims  5 mal |  4 disagree  8 agree | 15s | ETA 0.1h
INFO   [ 24/ 52] 0837 gold=MALIGNANT | 19 claims 15 mal |  6 disagree  6 agree | 16s | ETA 0.1h
INFO   [ 25/ 52] 0873 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 26/ 52] 0909 gold=BENIGN    | 19 claims 13 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 27/ 52] 0945 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 28/ 52] 0981 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 17s | ETA 0.1h
INFO   [ 29/ 52] 1017 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 30/ 52] 1053 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 31/ 52] 1089 gold=BENIGN    | 20 claims 16 mal |  8 disagree  4 agree | 16s | ETA 0.1h
INFO   [ 32/ 52] 1125 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 33/ 52] 1161 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 34/ 52] 1197 gold=BENIGN    | 20 claims 15 mal |  4 disagree  8 agree | 16s | ETA 0.1h
INFO   [ 35/ 52] 1233 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 36/ 52] 1269 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 37/ 52] 1305 gold=BENIGN    | 18 claims 12 mal |  8 disagree  4 agree | 15s | ETA 0.1h
INFO   [ 38/ 52] 1341 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 39/ 52] 1377 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 40/ 52] 1413 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 41/ 52] 1449 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 42/ 52] 1485 gold=MALIGNANT | 20 claims  9 mal |  5 disagree  7 agree | 17s | ETA 0.0h
INFO   [ 43/ 52] 1521 gold=BENIGN    | 19 claims  9 mal | 10 disagree  2 agree | 16s | ETA 0.0h
INFO   [ 44/ 52] 1557 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1593 gold=BENIGN    | 19 claims 16 mal |  6 disagree  6 agree | 15s | ETA 0.0h
INFO   [ 46/ 52] 1629 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 47/ 52] 1665 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 15s | ETA 0.0h
INFO   [ 48/ 52] 1701 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 49/ 52] 1737 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 50/ 52] 1773 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 51/ 52] 1809 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 52/ 52] 1845 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 16s | ETA 0.0h
INFO Done in 13.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
