INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=11/36 | 52 samples
INFO   [  1/ 52] 0011 gold=BENIGN    | 20 claims 13 mal |  7 disagree  5 agree | 26s | ETA 0.4h
INFO   [  2/ 52] 0047 gold=MALIGNANT | 18 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.4h
INFO   [  3/ 52] 0083 gold=MALIGNANT | 20 claims 11 mal |  5 disagree  7 agree | 27s | ETA 0.4h
INFO   [  4/ 52] 0119 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 26s | ETA 0.4h
INFO   [  5/ 52] 0155 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [  6/ 52] 0191 gold=BENIGN    | 18 claims  6 mal | 11 disagree  1 agree | 25s | ETA 0.3h
INFO   [  7/ 52] 0227 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [  8/ 52] 0263 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 27s | ETA 0.3h
INFO   [  9/ 52] 0299 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 25s | ETA 0.3h
INFO   [ 10/ 52] 0335 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 27s | ETA 0.3h
INFO   [ 11/ 52] 0371 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 12/ 52] 0407 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 13/ 52] 0443 gold=BENIGN    | 19 claims  7 mal |  9 disagree  3 agree | 25s | ETA 0.3h
INFO   [ 14/ 52] 0479 gold=MALIGNANT | 19 claims  7 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [ 15/ 52] 0515 gold=MALIGNANT | 19 claims  8 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [ 16/ 52] 0551 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 27s | ETA 0.3h
INFO   [ 17/ 52] 0587 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 18/ 52] 0623 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 19/ 52] 0659 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 25s | ETA 0.2h
INFO   [ 20/ 52] 0695 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 26s | ETA 0.2h
INFO   [ 21/ 52] 0731 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 25s | ETA 0.2h
INFO   [ 22/ 52] 0767 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 23/ 52] 0803 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 24/ 52] 0839 gold=MALIGNANT | 19 claims  9 mal |  8 disagree  4 agree | 27s | ETA 0.2h
INFO   [ 25/ 52] 0875 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 27s | ETA 0.2h
INFO   [ 26/ 52] 0911 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 28s | ETA 0.2h
INFO   [ 27/ 52] 0947 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 26s | ETA 0.2h
INFO   [ 28/ 52] 0983 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 29/ 52] 1019 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 30/ 52] 1055 gold=BENIGN    | 20 claims  6 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 31/ 52] 1091 gold=BENIGN    | 19 claims 13 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 32/ 52] 1127 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 26s | ETA 0.1h
