INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=4/36 | 52 samples
INFO   [  1/ 52] 0004 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 56s | ETA 0.8h
INFO   [  2/ 52] 0040 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 36s | ETA 0.6h
INFO   [  3/ 52] 0076 gold=MALIGNANT | 18 claims  8 mal |  9 disagree  3 agree | 35s | ETA 0.6h
INFO   [  4/ 52] 0112 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 38s | ETA 0.6h
INFO   [  5/ 52] 0148 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 37s | ETA 0.5h
INFO   [  6/ 52] 0184 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 38s | ETA 0.5h
INFO   [  7/ 52] 0220 gold=BENIGN    | 18 claims  7 mal | 11 disagree  1 agree | 39s | ETA 0.5h
INFO   [  8/ 52] 0256 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 39s | ETA 0.5h
INFO   [  9/ 52] 0292 gold=MALIGNANT | 19 claims  9 mal |  9 disagree  3 agree | 40s | ETA 0.5h
INFO   [ 10/ 52] 0328 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 39s | ETA 0.5h
INFO   [ 11/ 52] 0364 gold=BENIGN    | 16 claims  4 mal |  7 disagree  2 agree | 35s | ETA 0.4h
INFO   [ 12/ 52] 0400 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 39s | ETA 0.4h
INFO   [ 13/ 52] 0436 gold=MALIGNANT | 19 claims 15 mal | 11 disagree  1 agree | 39s | ETA 0.4h
INFO   [ 14/ 52] 0472 gold=MALIGNANT | 20 claims  9 mal |  5 disagree  7 agree | 39s | ETA 0.4h
INFO   [ 15/ 52] 0508 gold=BENIGN    | 19 claims 10 mal |  9 disagree  3 agree | 38s | ETA 0.4h
INFO   [ 16/ 52] 0544 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 38s | ETA 0.4h
INFO   [ 17/ 52] 0580 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 38s | ETA 0.4h
INFO   [ 18/ 52] 0616 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 39s | ETA 0.4h
INFO   [ 19/ 52] 0652 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 38s | ETA 0.4h
INFO   [ 20/ 52] 0688 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 39s | ETA 0.3h
INFO   [ 21/ 52] 0724 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 39s | ETA 0.3h
INFO   [ 22/ 52] 0760 gold=BENIGN    | 20 claims 10 mal |  7 disagree  5 agree | 40s | ETA 0.3h
INFO   [ 23/ 52] 0796 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 40s | ETA 0.3h
INFO   [ 24/ 52] 0832 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 40s | ETA 0.3h
INFO   [ 25/ 52] 0868 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 39s | ETA 0.3h
INFO   [ 26/ 52] 0904 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 40s | ETA 0.3h
WARNING turn agent_1 r0 failed: HTTP Error 500: Internal Server Error
INFO   [ 27/ 52] 0940 gold=BENIGN    | 15 claims 10 mal |  5 disagree  7 agree | 71s | ETA 0.3h
INFO   [ 28/ 52] 0976 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 40s | ETA 0.3h
INFO   [ 29/ 52] 1012 gold=MALIGNANT | 19 claims 16 mal | 11 disagree  1 agree | 41s | ETA 0.3h
INFO   [ 30/ 52] 1048 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 38s | ETA 0.2h
INFO   [ 31/ 52] 1084 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 38s | ETA 0.2h
INFO   [ 32/ 52] 1120 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 39s | ETA 0.2h
INFO   [ 33/ 52] 1156 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 38s | ETA 0.2h
INFO   [ 34/ 52] 1192 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 39s | ETA 0.2h
INFO   [ 35/ 52] 1228 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 39s | ETA 0.2h
INFO   [ 36/ 52] 1264 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 38s | ETA 0.2h
INFO   [ 37/ 52] 1300 gold=MALIGNANT | 20 claims 11 mal | 10 disagree  2 agree | 38s | ETA 0.2h
INFO   [ 38/ 52] 1336 gold=MALIGNANT | 18 claims  5 mal |  8 disagree  2 agree | 38s | ETA 0.2h
INFO   [ 39/ 52] 1372 gold=BENIGN    | 20 claims  6 mal | 10 disagree  2 agree | 38s | ETA 0.1h
INFO   [ 40/ 52] 1408 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 38s | ETA 0.1h
INFO   [ 41/ 52] 1444 gold=BENIGN    | 18 claims  7 mal | 12 disagree  0 agree | 38s | ETA 0.1h
INFO   [ 42/ 52] 1480 gold=MALIGNANT | 20 claims 16 mal | 12 disagree  0 agree | 41s | ETA 0.1h
INFO   [ 43/ 52] 1516 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 39s | ETA 0.1h
INFO   [ 44/ 52] 1552 gold=BENIGN    | 20 claims 10 mal |  8 disagree  4 agree | 38s | ETA 0.1h
INFO   [ 45/ 52] 1588 gold=BENIGN    | 20 claims  5 mal | 10 disagree  2 agree | 39s | ETA 0.1h
INFO   [ 46/ 52] 1624 gold=BENIGN    | 20 claims  9 mal |  8 disagree  4 agree | 40s | ETA 0.1h
INFO   [ 47/ 52] 1660 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 39s | ETA 0.1h
INFO   [ 48/ 52] 1696 gold=BENIGN    | 19 claims  9 mal |  9 disagree  3 agree | 39s | ETA 0.0h
INFO   [ 49/ 52] 1732 gold=MALIGNANT | 18 claims 12 mal | 12 disagree  0 agree | 38s | ETA 0.0h
INFO   [ 50/ 52] 1768 gold=BENIGN    | 18 claims  8 mal | 12 disagree  0 agree | 38s | ETA 0.0h
INFO   [ 51/ 52] 1804 gold=MALIGNANT | 17 claims  6 mal |  8 disagree  1 agree | 36s | ETA 0.0h
INFO   [ 52/ 52] 1840 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 39s | ETA 0.0h
INFO Done in 34.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
