INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=26/36 | 52 samples
INFO   [  1/ 52] 0026 gold=MALIGNANT | 18 claims  7 mal |  9 disagree  3 agree | 221s | ETA 3.1h
INFO   [  2/ 52] 0062 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 227s | ETA 3.1h
INFO   [  3/ 52] 0098 gold=MALIGNANT | 20 claims  7 mal |  7 disagree  5 agree | 222s | ETA 3.0h
INFO   [  4/ 52] 0134 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 222s | ETA 3.0h
INFO   [  5/ 52] 0170 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 222s | ETA 2.9h
INFO   [  6/ 52] 0206 gold=BENIGN    | 19 claims 13 mal |  8 disagree  4 agree | 229s | ETA 2.9h
INFO   [  7/ 52] 0242 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 235s | ETA 2.8h
INFO   [  8/ 52] 0278 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 223s | ETA 2.8h
INFO   [  9/ 52] 0314 gold=BENIGN    | 20 claims 14 mal |  7 disagree  5 agree | 223s | ETA 2.7h
INFO   [ 10/ 52] 0350 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 222s | ETA 2.6h
INFO   [ 11/ 52] 0386 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 222s | ETA 2.6h
INFO   [ 12/ 52] 0422 gold=BENIGN    | 20 claims  3 mal |  4 disagree  8 agree | 227s | ETA 2.5h
INFO   [ 13/ 52] 0458 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 235s | ETA 2.4h
INFO   [ 14/ 52] 0494 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 229s | ETA 2.4h
INFO   [ 15/ 52] 0530 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 223s | ETA 2.3h
INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=26/36 | 52 samples
INFO   [ 16/ 52] 0566 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 51s | ETA 0.0h
INFO   [ 17/ 52] 0602 gold=BENIGN    | 20 claims 19 mal | 12 disagree  0 agree | 53s | ETA 0.1h
INFO   [ 18/ 52] 0638 gold=BENIGN    | 19 claims 16 mal | 10 disagree  2 agree | 50s | ETA 0.1h
INFO   [ 19/ 52] 0674 gold=MALIGNANT | 20 claims 15 mal |  6 disagree  6 agree | 52s | ETA 0.1h
INFO   [ 20/ 52] 0710 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 21/ 52] 0746 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 22/ 52] 0782 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 52s | ETA 0.1h
INFO   [ 23/ 52] 0818 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 53s | ETA 0.1h
