INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=33/36 | 52 samples
INFO   [  1/ 52] 0033 gold=BENIGN    | 18 claims  6 mal | 12 disagree  0 agree | 14s | ETA 0.2h
INFO   [  2/ 52] 0069 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  3/ 52] 0105 gold=BENIGN    | 20 claims 13 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [  4/ 52] 0141 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  5/ 52] 0177 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  6/ 52] 0213 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  7/ 52] 0249 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  8/ 52] 0285 gold=BENIGN    | 19 claims  8 mal |  7 disagree  5 agree | 16s | ETA 0.2h
INFO   [  9/ 52] 0321 gold=MALIGNANT | 18 claims 12 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 10/ 52] 0357 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 11/ 52] 0393 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 12/ 52] 0429 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 13/ 52] 0465 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 14/ 52] 0501 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 15/ 52] 0537 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [ 16/ 52] 0573 gold=MALIGNANT | 20 claims 19 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 17/ 52] 0609 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 18s | ETA 0.2h
INFO   [ 18/ 52] 0645 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 15s | ETA 0.1h
INFO   [ 19/ 52] 0681 gold=MALIGNANT | 19 claims 14 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 20/ 52] 0717 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 21/ 52] 0753 gold=MALIGNANT | 20 claims 12 mal |  7 disagree  5 agree | 16s | ETA 0.1h
INFO   [ 22/ 52] 0789 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 23/ 52] 0825 gold=BENIGN    | 20 claims  7 mal |  9 disagree  3 agree | 17s | ETA 0.1h
INFO   [ 24/ 52] 0861 gold=MALIGNANT | 20 claims  8 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 25/ 52] 0897 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 26/ 52] 0933 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 27/ 52] 0969 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 15s | ETA 0.1h
INFO   [ 28/ 52] 1005 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 29/ 52] 1041 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 30/ 52] 1077 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 31/ 52] 1113 gold=MALIGNANT | 19 claims 11 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 32/ 52] 1149 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 17s | ETA 0.1h
INFO   [ 33/ 52] 1185 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 34/ 52] 1221 gold=MALIGNANT | 20 claims 16 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 35/ 52] 1257 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 17s | ETA 0.1h
INFO   [ 36/ 52] 1293 gold=BENIGN    | 19 claims  7 mal |  9 disagree  3 agree | 15s | ETA 0.1h
INFO   [ 37/ 52] 1329 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 38/ 52] 1365 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 39/ 52] 1401 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 17s | ETA 0.1h
INFO   [ 40/ 52] 1437 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 41/ 52] 1473 gold=BENIGN    | 19 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.0h
INFO   [ 42/ 52] 1509 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 43/ 52] 1545 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 44/ 52] 1581 gold=BENIGN    | 20 claims  8 mal |  6 disagree  6 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1617 gold=BENIGN    | 19 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 46/ 52] 1653 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 17s | ETA 0.0h
INFO   [ 47/ 52] 1689 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 48/ 52] 1725 gold=MALIGNANT | 19 claims 12 mal | 11 disagree  1 agree | 16s | ETA 0.0h
