INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=7/36 | 52 samples
INFO   [  1/ 52] 0007 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 226s | ETA 3.2h
INFO   [  2/ 52] 0043 gold=BENIGN    | 20 claims  3 mal |  6 disagree  6 agree | 225s | ETA 3.1h
INFO   [  3/ 52] 0079 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 220s | ETA 3.0h
INFO   [  4/ 52] 0115 gold=BENIGN    | 19 claims 11 mal |  8 disagree  4 agree | 225s | ETA 3.0h
INFO   [  5/ 52] 0151 gold=BENIGN    | 20 claims  6 mal |  8 disagree  4 agree | 220s | ETA 2.9h
INFO   [  6/ 52] 0187 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 221s | ETA 2.8h
INFO   [  7/ 52] 0223 gold=MALIGNANT | 19 claims 13 mal |  9 disagree  3 agree | 220s | ETA 2.8h
INFO   [  8/ 52] 0259 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 232s | ETA 2.7h
INFO   [  9/ 52] 0295 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 221s | ETA 2.7h
INFO   [ 10/ 52] 0331 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 220s | ETA 2.6h
INFO   [ 11/ 52] 0367 gold=BENIGN    | 18 claims  6 mal |  6 disagree  6 agree | 219s | ETA 2.5h
INFO   [ 12/ 52] 0403 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 232s | ETA 2.5h
INFO   [ 13/ 52] 0439 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 222s | ETA 2.4h
INFO   [ 14/ 52] 0475 gold=MALIGNANT | 20 claims 13 mal |  8 disagree  4 agree | 232s | ETA 2.4h
INFO   [ 15/ 52] 0511 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 220s | ETA 2.3h
INFO   [ 16/ 52] 0547 gold=BENIGN    | 20 claims 15 mal |  8 disagree  4 agree | 239s | ETA 2.2h
INFO   [ 17/ 52] 0583 gold=BENIGN    | 19 claims  6 mal |  8 disagree  3 agree | 220s | ETA 2.2h
INFO   [ 18/ 52] 0619 gold=BENIGN    | 20 claims 11 mal |  9 disagree  3 agree | 225s | ETA 2.1h
INFO   [ 19/ 52] 0655 gold=MALIGNANT | 20 claims 14 mal |  7 disagree  5 agree | 221s | ETA 2.1h
INFO   [ 20/ 52] 0691 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 226s | ETA 2.0h
INFO   [ 21/ 52] 0727 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 221s | ETA 1.9h
INFO   [ 22/ 52] 0763 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 221s | ETA 1.9h
INFO   [ 23/ 52] 0799 gold=MALIGNANT | 19 claims 10 mal | 10 disagree  2 agree | 225s | ETA 1.8h
INFO   [ 24/ 52] 0835 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 225s | ETA 1.7h
INFO   [ 25/ 52] 0871 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 228s | ETA 1.7h
INFO   [ 26/ 52] 0907 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 220s | ETA 1.6h
INFO   [ 27/ 52] 0943 gold=BENIGN    | 18 claims  9 mal |  8 disagree  4 agree | 221s | ETA 1.6h
INFO   [ 28/ 52] 0979 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 220s | ETA 1.5h
INFO   [ 29/ 52] 1015 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 226s | ETA 1.4h
INFO   [ 30/ 52] 1051 gold=BENIGN    | 20 claims  7 mal |  9 disagree  3 agree | 220s | ETA 1.4h
INFO   [ 31/ 52] 1087 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 226s | ETA 1.3h
INFO   [ 32/ 52] 1123 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 235s | ETA 1.2h
INFO   [ 33/ 52] 1159 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 220s | ETA 1.2h
INFO   [ 34/ 52] 1195 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 226s | ETA 1.1h
INFO   [ 35/ 52] 1231 gold=MALIGNANT | 20 claims 13 mal | 11 disagree  1 agree | 239s | ETA 1.1h
INFO   [ 36/ 52] 1267 gold=MALIGNANT | 19 claims 11 mal |  8 disagree  4 agree | 220s | ETA 1.0h
