INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=27/36 | 52 samples
INFO   [  1/ 52] 0027 gold=MALIGNANT | 19 claims 14 mal | 11 disagree  1 agree | 13s | ETA 0.2h
INFO   [  2/ 52] 0063 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  3/ 52] 0099 gold=MALIGNANT | 20 claims 16 mal |  4 disagree  8 agree | 15s | ETA 0.2h
INFO   [  4/ 52] 0135 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 15s | ETA 0.2h
INFO   [  5/ 52] 0171 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  6/ 52] 0207 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  7/ 52] 0243 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [  8/ 52] 0279 gold=BENIGN    | 20 claims 12 mal |  8 disagree  4 agree | 15s | ETA 0.2h
INFO   [  9/ 52] 0315 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 10/ 52] 0351 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 11/ 52] 0387 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 12/ 52] 0423 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 13/ 52] 0459 gold=MALIGNANT | 20 claims 15 mal |  8 disagree  4 agree | 17s | ETA 0.2h
INFO   [ 14/ 52] 0495 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 15/ 52] 0531 gold=BENIGN    | 19 claims  9 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [ 16/ 52] 0567 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.2h
INFO   [ 17/ 52] 0603 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 18/ 52] 0639 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 19/ 52] 0675 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 20/ 52] 0711 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 21/ 52] 0747 gold=BENIGN    | 19 claims 13 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 22/ 52] 0783 gold=BENIGN    | 18 claims 11 mal |  8 disagree  4 agree | 16s | ETA 0.1h
