INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=5/36 | 52 samples
INFO   [  1/ 52] 0005 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 54s | ETA 0.8h
INFO   [  2/ 52] 0041 gold=BENIGN    | 18 claims 15 mal |  6 disagree  6 agree | 46s | ETA 0.7h
INFO   [  3/ 52] 0077 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 51s | ETA 0.7h
INFO   [  4/ 52] 0113 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 57s | ETA 0.7h
INFO   [  5/ 52] 0149 gold=BENIGN    | 18 claims  8 mal | 10 disagree  2 agree | 60s | ETA 0.7h
INFO   [  6/ 52] 0185 gold=BENIGN    | 19 claims 13 mal | 11 disagree  1 agree | 62s | ETA 0.7h
INFO   [  7/ 52] 0221 gold=BENIGN    | 20 claims  7 mal |  9 disagree  3 agree | 63s | ETA 0.7h
INFO   [  8/ 52] 0257 gold=BENIGN    | 19 claims  8 mal |  8 disagree  4 agree | 59s | ETA 0.7h
INFO   [  9/ 52] 0293 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 62s | ETA 0.7h
INFO   [ 10/ 52] 0329 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 60s | ETA 0.7h
INFO   [ 11/ 52] 0365 gold=BENIGN    | 20 claims  3 mal |  6 disagree  6 agree | 63s | ETA 0.7h
INFO   [ 12/ 52] 0401 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 65s | ETA 0.6h
INFO   [ 13/ 52] 0437 gold=MALIGNANT | 19 claims 11 mal |  8 disagree  4 agree | 63s | ETA 0.6h
INFO   [ 14/ 52] 0473 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 62s | ETA 0.6h
INFO   [ 15/ 52] 0509 gold=BENIGN    | 20 claims 16 mal |  7 disagree  5 agree | 61s | ETA 0.6h
