INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=18/36 | 52 samples
INFO   [  1/ 52] 0018 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.2h
INFO   [  2/ 52] 0054 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  3/ 52] 0090 gold=MALIGNANT | 20 claims 14 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  4/ 52] 0126 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  5/ 52] 0162 gold=MALIGNANT | 19 claims  8 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [  6/ 52] 0198 gold=BENIGN    | 18 claims  5 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [  7/ 52] 0234 gold=BENIGN    | 18 claims  7 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  8/ 52] 0270 gold=BENIGN    | 20 claims 13 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  9/ 52] 0306 gold=BENIGN    | 20 claims 14 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 10/ 52] 0342 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 11/ 52] 0378 gold=BENIGN    | 18 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 12/ 52] 0414 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 13/ 52] 0450 gold=BENIGN    | 18 claims  7 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 14/ 52] 0486 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 15/ 52] 0522 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 16/ 52] 0558 gold=MALIGNANT | 18 claims 11 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 17/ 52] 0594 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 18/ 52] 0630 gold=MALIGNANT | 20 claims 14 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 19/ 52] 0666 gold=MALIGNANT | 20 claims  7 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 20/ 52] 0702 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 21/ 52] 0738 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 22/ 52] 0774 gold=BENIGN    | 19 claims 14 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 23/ 52] 0810 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 24/ 52] 0846 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 25/ 52] 0882 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 26/ 52] 0918 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 27/ 52] 0954 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 28/ 52] 0990 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 29/ 52] 1026 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 30/ 52] 1062 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 31/ 52] 1098 gold=BENIGN    | 20 claims 14 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 32/ 52] 1134 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 33/ 52] 1170 gold=BENIGN    | 19 claims 14 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 34/ 52] 1206 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 35/ 52] 1242 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 36/ 52] 1278 gold=MALIGNANT | 20 claims 13 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 37/ 52] 1314 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 38/ 52] 1350 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 39/ 52] 1386 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 40/ 52] 1422 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 41/ 52] 1458 gold=MALIGNANT | 18 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 42/ 52] 1494 gold=BENIGN    | 20 claims  6 mal |  8 disagree  4 agree | 11s | ETA 0.0h
INFO   [ 43/ 52] 1530 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 44/ 52] 1566 gold=BENIGN    | 20 claims 10 mal |  7 disagree  5 agree | 11s | ETA 0.0h
INFO   [ 45/ 52] 1602 gold=BENIGN    | 16 claims  6 mal |  8 disagree  0 agree | 9s | ETA 0.0h
INFO   [ 46/ 52] 1638 gold=MALIGNANT | 18 claims 12 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 47/ 52] 1674 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 48/ 52] 1710 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 49/ 52] 1746 gold=MALIGNANT | 19 claims 12 mal |  3 disagree  9 agree | 10s | ETA 0.0h
INFO   [ 50/ 52] 1782 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 51/ 52] 1818 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 52/ 52] 1854 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO Done in 9.1 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
