INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=19/36 | 52 samples
INFO   [  1/ 52] 0019 gold=BENIGN    | 18 claims  7 mal |  9 disagree  1 agree | 26s | ETA 0.4h
INFO   [  2/ 52] 0055 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 26s | ETA 0.4h
INFO   [  3/ 52] 0091 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 26s | ETA 0.4h
INFO   [  4/ 52] 0127 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [  5/ 52] 0163 gold=MALIGNANT | 18 claims 12 mal |  7 disagree  5 agree | 26s | ETA 0.3h
INFO   [  6/ 52] 0199 gold=BENIGN    | 20 claims  6 mal | 10 disagree  2 agree | 26s | ETA 0.3h
INFO   [  7/ 52] 0235 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [  8/ 52] 0271 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 27s | ETA 0.3h
INFO   [  9/ 52] 0307 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 27s | ETA 0.3h
INFO   [ 10/ 52] 0343 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 11/ 52] 0379 gold=BENIGN    | 20 claims 14 mal |  8 disagree  4 agree | 26s | ETA 0.3h
INFO   [ 12/ 52] 0415 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 27s | ETA 0.3h
INFO   [ 13/ 52] 0451 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [ 14/ 52] 0487 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 15/ 52] 0523 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [ 16/ 52] 0559 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 17/ 52] 0595 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 26s | ETA 0.3h
INFO   [ 18/ 52] 0631 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 27s | ETA 0.2h
INFO   [ 19/ 52] 0667 gold=MALIGNANT | 20 claims  6 mal |  7 disagree  5 agree | 27s | ETA 0.2h
INFO   [ 20/ 52] 0703 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 25s | ETA 0.2h
INFO   [ 21/ 52] 0739 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 25s | ETA 0.2h
INFO   [ 22/ 52] 0775 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 23/ 52] 0811 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 24/ 52] 0847 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 25/ 52] 0883 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 27s | ETA 0.2h
INFO   [ 26/ 52] 0919 gold=MALIGNANT | 20 claims 13 mal |  8 disagree  4 agree | 27s | ETA 0.2h
INFO   [ 27/ 52] 0955 gold=BENIGN    | 20 claims  6 mal |  0 disagree 12 agree | 26s | ETA 0.2h
INFO   [ 28/ 52] 0991 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 29/ 52] 1027 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 26s | ETA 0.2h
INFO   [ 30/ 52] 1063 gold=MALIGNANT | 20 claims 10 mal |  9 disagree  3 agree | 26s | ETA 0.2h
INFO   [ 31/ 52] 1099 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 26s | ETA 0.2h
INFO   [ 32/ 52] 1135 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 26s | ETA 0.1h
INFO   [ 33/ 52] 1171 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 34/ 52] 1207 gold=BENIGN    | 20 claims 11 mal |  8 disagree  4 agree | 27s | ETA 0.1h
INFO   [ 35/ 52] 1243 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 36/ 52] 1279 gold=MALIGNANT | 18 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 37/ 52] 1315 gold=BENIGN    | 17 claims  4 mal |  7 disagree  2 agree | 26s | ETA 0.1h
INFO   [ 38/ 52] 1351 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 39/ 52] 1387 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 40/ 52] 1423 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 41/ 52] 1459 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 28s | ETA 0.1h
INFO   [ 42/ 52] 1495 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 43/ 52] 1531 gold=BENIGN    | 20 claims 12 mal |  4 disagree  8 agree | 28s | ETA 0.1h
INFO   [ 44/ 52] 1567 gold=BENIGN    | 20 claims  4 mal |  5 disagree  7 agree | 27s | ETA 0.1h
INFO   [ 45/ 52] 1603 gold=BENIGN    | 18 claims 11 mal | 12 disagree  0 agree | 25s | ETA 0.1h
INFO   [ 46/ 52] 1639 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 27s | ETA 0.0h
INFO   [ 47/ 52] 1675 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 26s | ETA 0.0h
INFO   [ 48/ 52] 1711 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 26s | ETA 0.0h
INFO   [ 49/ 52] 1747 gold=BENIGN    | 19 claims  6 mal | 10 disagree  2 agree | 25s | ETA 0.0h
INFO   [ 50/ 52] 1783 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 27s | ETA 0.0h
INFO   [ 51/ 52] 1819 gold=MALIGNANT | 19 claims  8 mal | 11 disagree  1 agree | 26s | ETA 0.0h
INFO   [ 52/ 52] 1855 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 27s | ETA 0.0h
INFO Done in 22.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
